,importance_mean,importance_std
temp_lag_1,0.9503933277801255,0.0
fourier_cos_1,0.24777820798144368,0.0
temp_lag_2,0.07414379082958056,0.0
temp_rolling_mean_7,0.033595643233365946,0.0
temp_rolling_mean_30,0.02596669100438187,0.0
fourier_sin_1,0.019003200892367955,0.0
month,0.014067556194782727,0.0
day,0.010403476068672868,0.0
fourier_sin_4,0.007571342792326297,0.0
temp_lag_365,0.005485041948549263,0.0
temp_rolling_std_14,0.005125600658231866,0.0
year,0.004955775295245823,0.0
temp_lag_3,0.004185379534720424,0.0
dayofweek,0.0018790461876032616,0.0
temp_lag_14,0.0010274986920137952,0.0
temp_rolling_std_7,0.0007284003812180195,0.0
fourier_cos_2,0.0005889901997007119,0.0
temp_rolling_mean_90,-0.0009953005424629957,0.0
fourier_sin_2,-0.0016734724941203094,0.0
temp_rolling_std_90,-0.002259627767831063,0.0
fourier_cos_4,-0.0033266847707147384,0.0
temp_rolling_std_30,-0.003788884692575323,0.0
temp_lag_7,-0.0046599975466783405,0.0
fourier_sin_3,-0.008065158132966932,0.0
temp_rolling_mean_14,-0.009389869205864487,0.0
fourier_cos_3,-0.01637867666296189,0.0
